trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
298,False,"{'a': 0.1, 'e': 0.911196}",30,0,-78.31630100463117,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 0}",0
299,False,"{'a': 0.1, 'e': 0.910599}",25,0,-82.25633240514965,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 2}",0
300,False,"{'a': 0.1, 'e': 0.91}",25,0,-79.21057350037927,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
301,False,"{'a': 0.1, 'e': 0.909399}",20,0,-137.70085652891206,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
302,False,"{'a': 0.1, 'e': 0.908796}",25,0,-78.77087674372207,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
303,False,"{'a': 0.1, 'e': 0.908191}",30,0,-97.95906445609042,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 1}",0
304,False,"{'a': 0.1, 'e': 0.907584}",25,7,-17.56251589076095,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 0}",1
305,False,"{'a': 0.1, 'e': 0.906975}",20,0,-100.769909861706,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
306,False,"{'a': 0.1, 'e': 0.906364}",25,0,-94.32679445501833,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
307,False,"{'a': 0.1, 'e': 0.905751}",20,7,-73.37948979324989,"{0: 6, 1: 0, 2: 6, 3: 1, 4: 0}",1
308,False,"{'a': 0.1, 'e': 0.905136}",20,0,-59.488047415405035,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
309,False,"{'a': 0.1, 'e': 0.904519}",25,0,-55.569044748567634,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
310,False,"{'a': 0.1, 'e': 0.9039}",25,0,-243.77320077198323,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 5}",0
311,False,"{'a': 0.1, 'e': 0.9032789999999999}",20,0,-189.84120646478056,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
312,False,"{'a': 0.1, 'e': 0.902656}",20,0,-43.06874665426345,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
313,False,"{'a': 0.1, 'e': 0.902031}",30,0,-105.80908825702464,"{0: 18, 1: 2, 2: 8, 3: 2, 4: 0}",0
314,False,"{'a': 0.1, 'e': 0.901404}",20,0,-49.13722773995488,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
315,False,"{'a': 0.1, 'e': 0.900775}",20,3,-43.368964645630335,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 1}",1
